"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","56914","(@flaky) should login, add brand-filtered products, and place order successfully","WebKit","Wed Nov 12 15:13:23 UTC 2025","passed","Wed Nov 12 15:14:20 UTC 2025","Cart flow - add products by brand","cart-brand-flow.spec.ts","",""
"","42635","should filter by two brands and show only those results","Chromium","Wed Nov 12 15:14:05 UTC 2025","passed","Wed Nov 12 15:14:48 UTC 2025","Home page","homepage.spec.ts","",""
"","29163","should login, add two known products, verify, then empty cart","WebKit","Wed Nov 12 15:14:34 UTC 2025","passed","Wed Nov 12 15:15:03 UTC 2025","Cart - search add 3, remove 1, expect 2 (@cart)","cart-search-and-remove.spec.ts","",""
"","8377","should show error when login with wrong password","Firefox","Wed Nov 12 15:11:37 UTC 2025","passed","Wed Nov 12 15:11:46 UTC 2025","Auth - Login Negative Scenarios","auth-login-negative.spec.ts","",""
"","6740","should return only ""Blue Top"" items when searching for ""Blue Top""","WebKit","Wed Nov 12 15:15:09 UTC 2025","passed","Wed Nov 12 15:15:16 UTC 2025","Products search","products-search.spec.ts","",""
"","1063","should load homepage successfully","Firefox","Wed Nov 12 15:13:25 UTC 2025","passed","Wed Nov 12 15:13:26 UTC 2025","Home page","homepage.spec.ts","",""
"","667","should show error when login with empty credentials","Chromium","Wed Nov 12 15:12:25 UTC 2025","passed","Wed Nov 12 15:12:26 UTC 2025","Auth - Login Negative Scenarios","auth-login-negative.spec.ts","",""
"","24967","should persist cart items after failed checkout attempt","Firefox","Wed Nov 12 15:12:17 UTC 2025","passed","Wed Nov 12 15:12:42 UTC 2025","Cart - Checkout Negative Scenarios","cart-checkout-negative.spec.ts","",""
"","1392","should filter by category (Women → Dress)","Chromium","Wed Nov 12 15:14:04 UTC 2025","passed","Wed Nov 12 15:14:05 UTC 2025","Home page","homepage.spec.ts","",""
"","52932","(@flaky) should login, add brand-filtered products, and place order successfully","Chromium","Wed Nov 12 15:13:09 UTC 2025","passed","Wed Nov 12 15:14:02 UTC 2025","Cart flow - add products by brand","cart-brand-flow.spec.ts","",""
"","53435","(@flaky) should login, add brand-filtered products, and place order successfully","Firefox","Wed Nov 12 15:12:32 UTC 2025","passed","Wed Nov 12 15:13:25 UTC 2025","Cart flow - add products by brand","cart-brand-flow.spec.ts","",""
"","24271","should require login when trying to checkout as guest","Firefox","Wed Nov 12 15:11:48 UTC 2025","passed","Wed Nov 12 15:12:12 UTC 2025","Cart - Checkout Negative Scenarios","cart-checkout-negative.spec.ts","",""
"","14420","should return only matching items across multiple searches","Chromium","Wed Nov 12 15:14:54 UTC 2025","passed","Wed Nov 12 15:15:08 UTC 2025","Products search","products-search.spec.ts","",""
"","504","should show error when login with invalid email format","Chromium","Wed Nov 12 15:12:24 UTC 2025","passed","Wed Nov 12 15:12:25 UTC 2025","Auth - Login Negative Scenarios","auth-login-negative.spec.ts","",""
"","28354","without login should add 3 via search, remove one, assert 2 remain","Firefox","Wed Nov 12 15:13:09 UTC 2025","passed","Wed Nov 12 15:13:37 UTC 2025","Cart - search add 3, remove 1, expect 2 (@cart)","cart-search-and-remove.spec.ts","",""
"","4042","should create a new account successfully and delete it at the end","Chromium","Wed Nov 12 15:12:15 UTC 2025","passed","Wed Nov 12 15:12:19 UTC 2025","Auth - Signup","auth-signup.spec.ts","",""
"","1037","should load homepage successfully","Chromium","Wed Nov 12 15:14:02 UTC 2025","passed","Wed Nov 12 15:14:03 UTC 2025","Home page","homepage.spec.ts","",""
"","25998","should not allow proceeding to payment without items","Chromium","Wed Nov 12 15:13:18 UTC 2025","passed","Wed Nov 12 15:13:44 UTC 2025","Cart - Checkout Negative Scenarios","cart-checkout-negative.spec.ts","",""
"","26221","should persist cart items after failed checkout attempt","WebKit","Wed Nov 12 15:13:09 UTC 2025","passed","Wed Nov 12 15:13:35 UTC 2025","Cart - Checkout Negative Scenarios","cart-checkout-negative.spec.ts","",""
"","1349","should show error when login with empty credentials","WebKit","Wed Nov 12 15:12:36 UTC 2025","passed","Wed Nov 12 15:12:38 UTC 2025","Auth - Login Negative Scenarios","auth-login-negative.spec.ts","",""
"","1485","should filter by category (Women → Dress)","Firefox","Wed Nov 12 15:13:27 UTC 2025","passed","Wed Nov 12 15:13:29 UTC 2025","Home page","homepage.spec.ts","",""
"","6151","should not allow checkout with empty cart","WebKit","Wed Nov 12 15:13:03 UTC 2025","passed","Wed Nov 12 15:13:09 UTC 2025","Cart - Checkout Negative Scenarios","cart-checkout-negative.spec.ts","",""
"","6187","should return only ""Blue Top"" items when searching for ""Blue Top""","Firefox","Wed Nov 12 15:14:11 UTC 2025","passed","Wed Nov 12 15:14:17 UTC 2025","Products search","products-search.spec.ts","",""
"","9974","should login, add two products from products page, and complete order successfully (@flaky)","Chromium","Wed Nov 12 15:14:39 UTC 2025","passed","Wed Nov 12 15:14:49 UTC 2025","Order - Existing user completes checkout (@order)","order-existing-user.spec.ts","",""
"","46870","(@flaky) should add products from Polo and H&M and verify in cart","Chromium","Wed Nov 12 15:12:22 UTC 2025","passed","Wed Nov 12 15:13:09 UTC 2025","Cart flow - add products by brand","cart-brand-flow.spec.ts","",""
"","18403","should create a new account successfully and delete it at the end","WebKit","Wed Nov 12 15:12:15 UTC 2025","passed","Wed Nov 12 15:12:33 UTC 2025","Auth - Signup","auth-signup.spec.ts","",""
"","866","should display header navigation links","Chromium","Wed Nov 12 15:14:03 UTC 2025","passed","Wed Nov 12 15:14:04 UTC 2025","Home page","homepage.spec.ts","",""
"","26934","should not allow proceeding to payment without items","Firefox","Wed Nov 12 15:12:42 UTC 2025","passed","Wed Nov 12 15:13:09 UTC 2025","Cart - Checkout Negative Scenarios","cart-checkout-negative.spec.ts","",""
"","6627","should show error when login with wrong password","Chromium","Wed Nov 12 15:12:15 UTC 2025","passed","Wed Nov 12 15:12:22 UTC 2025","Auth - Login Negative Scenarios","auth-login-negative.spec.ts","",""
"","26907","should login, add two known products, verify, then empty cart","Firefox","Wed Nov 12 15:13:37 UTC 2025","passed","Wed Nov 12 15:14:04 UTC 2025","Cart - search add 3, remove 1, expect 2 (@cart)","cart-search-and-remove.spec.ts","",""
"","4790","should not allow checkout with empty cart","Firefox","Wed Nov 12 15:12:12 UTC 2025","passed","Wed Nov 12 15:12:17 UTC 2025","Cart - Checkout Negative Scenarios","cart-checkout-negative.spec.ts","",""
"","28434","without login should add 3 via search, remove one, assert 2 remain","Chromium","Wed Nov 12 15:13:44 UTC 2025","passed","Wed Nov 12 15:14:13 UTC 2025","Cart - search add 3, remove 1, expect 2 (@cart)","cart-search-and-remove.spec.ts","",""
"","29486","without login should add 3 via search, remove one, assert 2 remain","WebKit","Wed Nov 12 15:14:04 UTC 2025","passed","Wed Nov 12 15:14:34 UTC 2025","Cart - search add 3, remove 1, expect 2 (@cart)","cart-search-and-remove.spec.ts","",""
"","12544","should login, add two products from products page, and complete order successfully (@flaky)","WebKit","Wed Nov 12 15:15:03 UTC 2025","passed","Wed Nov 12 15:15:15 UTC 2025","Order - Existing user completes checkout (@order)","order-existing-user.spec.ts","",""
"","670","should show error when login with empty credentials","Firefox","Wed Nov 12 15:11:47 UTC 2025","passed","Wed Nov 12 15:11:48 UTC 2025","Auth - Login Negative Scenarios","auth-login-negative.spec.ts","",""
"","1626","should load homepage successfully","WebKit","Wed Nov 12 15:14:20 UTC 2025","passed","Wed Nov 12 15:14:22 UTC 2025","Home page","homepage.spec.ts","",""
"","43635","should filter by two brands and show only those results","WebKit","Wed Nov 12 15:14:25 UTC 2025","passed","Wed Nov 12 15:15:09 UTC 2025","Home page","homepage.spec.ts","",""
"","18964","should show error when login with wrong password","WebKit","Wed Nov 12 15:12:15 UTC 2025","passed","Wed Nov 12 15:12:34 UTC 2025","Auth - Login Negative Scenarios","auth-login-negative.spec.ts","",""
"","10657","should login, add two products from products page, and complete order successfully (@flaky)","Firefox","Wed Nov 12 15:14:04 UTC 2025","passed","Wed Nov 12 15:14:15 UTC 2025","Order - Existing user completes checkout (@order)","order-existing-user.spec.ts","",""
"","694","should show error when login with invalid email format","Firefox","Wed Nov 12 15:11:46 UTC 2025","passed","Wed Nov 12 15:11:47 UTC 2025","Auth - Login Negative Scenarios","auth-login-negative.spec.ts","",""
"","48774","(@flaky) should add products from Polo and H&M and verify in cart","WebKit","Wed Nov 12 15:12:35 UTC 2025","passed","Wed Nov 12 15:13:23 UTC 2025","Cart flow - add products by brand","cart-brand-flow.spec.ts","",""
"","42018","should filter by two brands and show only those results","Firefox","Wed Nov 12 15:13:29 UTC 2025","passed","Wed Nov 12 15:14:11 UTC 2025","Home page","homepage.spec.ts","",""
"","1115","should display header navigation links","Firefox","Wed Nov 12 15:13:26 UTC 2025","passed","Wed Nov 12 15:13:27 UTC 2025","Home page","homepage.spec.ts","",""
"","5840","should return only ""Blue Top"" items when searching for ""Blue Top""","Chromium","Wed Nov 12 15:14:48 UTC 2025","passed","Wed Nov 12 15:14:54 UTC 2025","Products search","products-search.spec.ts","",""
"","14385","should return only matching items across multiple searches","Firefox","Wed Nov 12 15:14:17 UTC 2025","passed","Wed Nov 12 15:14:32 UTC 2025","Products search","products-search.spec.ts","",""
"","25728","should login, add two known products, verify, then empty cart","Chromium","Wed Nov 12 15:14:13 UTC 2025","passed","Wed Nov 12 15:14:39 UTC 2025","Cart - search add 3, remove 1, expect 2 (@cart)","cart-search-and-remove.spec.ts","",""
"","1268","should show error when login with invalid email format","WebKit","Wed Nov 12 15:12:35 UTC 2025","passed","Wed Nov 12 15:12:36 UTC 2025","Auth - Login Negative Scenarios","auth-login-negative.spec.ts","",""
"","6223","should create a new account successfully and delete it at the end","Firefox","Wed Nov 12 15:11:37 UTC 2025","passed","Wed Nov 12 15:11:44 UTC 2025","Auth - Signup","auth-signup.spec.ts","",""
"","3848","should not allow checkout with empty cart","Chromium","Wed Nov 12 15:12:50 UTC 2025","passed","Wed Nov 12 15:12:54 UTC 2025","Cart - Checkout Negative Scenarios","cart-checkout-negative.spec.ts","",""
"","24977","should require login when trying to checkout as guest","WebKit","Wed Nov 12 15:12:38 UTC 2025","passed","Wed Nov 12 15:13:03 UTC 2025","Cart - Checkout Negative Scenarios","cart-checkout-negative.spec.ts","",""
"","46953","(@flaky) should add products from Polo and H&M and verify in cart","Firefox","Wed Nov 12 15:11:45 UTC 2025","passed","Wed Nov 12 15:12:32 UTC 2025","Cart flow - add products by brand","cart-brand-flow.spec.ts","",""
"","24060","should require login when trying to checkout as guest","Chromium","Wed Nov 12 15:12:26 UTC 2025","passed","Wed Nov 12 15:12:50 UTC 2025","Cart - Checkout Negative Scenarios","cart-checkout-negative.spec.ts","",""
"","1598","should filter by category (Women → Dress)","WebKit","Wed Nov 12 15:14:24 UTC 2025","passed","Wed Nov 12 15:14:25 UTC 2025","Home page","homepage.spec.ts","",""
"","24727","should persist cart items after failed checkout attempt","Chromium","Wed Nov 12 15:12:54 UTC 2025","passed","Wed Nov 12 15:13:18 UTC 2025","Cart - Checkout Negative Scenarios","cart-checkout-negative.spec.ts","",""
"","19277","should return only matching items across multiple searches","WebKit","Wed Nov 12 15:15:16 UTC 2025","passed","Wed Nov 12 15:15:35 UTC 2025","Products search","products-search.spec.ts","",""
"","28959","should not allow proceeding to payment without items","WebKit","Wed Nov 12 15:13:35 UTC 2025","passed","Wed Nov 12 15:14:04 UTC 2025","Cart - Checkout Negative Scenarios","cart-checkout-negative.spec.ts","",""
"","1607","should display header navigation links","WebKit","Wed Nov 12 15:14:22 UTC 2025","passed","Wed Nov 12 15:14:24 UTC 2025","Home page","homepage.spec.ts","",""
